"标题和要求
","范文
","","分析
","考试类型","附件"
"1. Write a short summary of the report on the video clip, which should include: ?

* Cheating as a widespread problem in American universities

* Who's been helping students cheat

2. Write a short essay on the theme of Prevent Cheating on Campus.
","From the news report, we can tell cheating has become a very common phenomenon in American universities. It seems that students who fear to fail a course will naturally turn to cheating. Besides, the wide use of the Internet has facilitated students' cheating. For example, students can easily put orders and buy essays online since many websites have been established to meet such needs of college students.

Similarly, China is also faced with the same challenge of preventing cheating on campus. To prevent such shameful behaviors, schools and related departments should impose severe punishments on both cheaters and people who help students cheat. Besides, schools should also encourage academic honesty by reminding students that they will learn little if they pass exams by cheating. In this way, we can maintain academic honesty on campus and create a favorable academic atmosphere for students.
","","","视听写作（四级网考）","/resourcefile/201001/video/Flv-20100106100252356.flv"
"1. Write a short summary of the video clip, which should include: ?

* The main content of this video ?

* The example of Bush's and Putin's body language

2. Give your comments on how to use body language to enhance your speech.
","Although the spoken words are important, even more important than that is your body language. This video not only shows that body language always tells the truth but also equips us with the methods of reading the non-verbal clues. Celebrities in different fields are chosen as the examples in this program. Their body language helps to express themselves and also reveals their secrets. One of the examples is the meeting between President Putin and President Bush, both of whom display their great power through their body movements. President Putin walks with his shoulders bouncing back and forth. In contrast, President Bush shows his more traditional power, with little movement above the shoulders.

As is introduced in this program, body language is crucial in our daily life. For instance, body language has a large impact on the speech presentation. Firstly, eye contact adds conviction and meaning to every word you say. Without it, your speech is just a mess of words. Secondly, gestures help you tell a story effectively or drive home a main point. Last but not least, your posture is another important speech language form. Developing a firm, upright posture will contribute to your speech. In a word, using body language will enhance your speech delivery.
","","
","视听写作（四级网考）","/resourcefile/200912/video/Flv-2009000001[10].flv"
"1. Write a short summary of the interview on how awomancan be a smart shopper.

2. Give your comments on it.
","Howto Be a SmartShopper

According to thebook Why She Buys, it is important for women to know how to use their spending power wisely as they buy a lot. Here are some suggestions:

Firstly, it is not advisable to pay forcommodities they don't need. For instance, they should not buy an expensive cell phone with multiple functions if they never use them. Secondly, theyaresupposed togive theirbusiness to those who deserve it. The company that is contributing to the local community or treatsemployees welldeservestheir business. Lastly, when they experience a terrible customer service, they need to make their voice heard so that the companies may improve it.

I agree to whatare mentioned above. However, I'd like to add some one point. We'd better not go shoppingwhen we just want to relieve our anger or depression. Only when we go shopping rationally and buy products we really need, can we be a smart shopper.
","","","视听写作（四级网考）","/resourcefile/200911/technology/audio/Mp3-2009000001[6].mp3"
"outline
","","","sample this is a sample
","视听写作（四级网考）",""
"1. Write a short summary of the news item, which should include: ? Children adopted by celebrities ? Family life, parental love and responsibilities 2. Give your comments on the theme of The Strengths and Weaknesses for Children Adopted by Celebrities
","","","American government intends to offer its hand to the middle class families by establishing a special committee focusing on the issues which affect them most. Realizing the middle class is the backbone of the country, Obama’s administration is trying to help the middle class out of the current financial crisis. Led by the Vice President Biden, the special team is likely to work out a range of plans to make the middle class families, including those poor people, survive the disaster. By creating more job opportunities, offering safer warfare for the retired and the elders and providing more assistance for the education of the kids, the government hopes to stimulate the economy and make it recover in the near future. (120 words)
","视听写作（四级网考）",""
"1. Write a short summary of the news item, which should include: ? Children adopted by celebrities ? Family life, parental love and responsibilities 2. Give your comments on the theme of The Strengths and Weaknesses for Children Adopted by Celebrities
","","","American government intends to offer its hand to the middle class families by establishing a special committee focusing on the issues which affect them most. Realizing the middle class is the backbone of the country, Obama’s administration is trying to help the middle class out of the current financial crisis. Led by the Vice President Biden, the special team is likely to work out a range of plans to make the middle class families, including those poor people, survive the disaster. By creating more job opportunities, offering safer warfare for the retired and the elders and providing more assistance for the education of the kids, the government hopes to stimulate the economy and make it recover in the near future.
","视听写作（四级网考）",""
"asdfasdf
","","","asdfaf
","视听写作（四级网考）",""
"April 1st is a day designed for pranks. Conficker, a computer worm, is said to launch on April 1st. It first surfaced in last October, targeting computers using Microsoft's Windows software. According to the researchers, it is first created as a complex computer program and sent out through the Internet. Landing in servers, it then searches to hack into computers with weak network passwords, old anti-virus software or Windows software not recently updated. Once inside, it creates a so-called ""zombie computer"" that could be controlled by the worm's designer. The worm now has spread and evolved into a threat to multiple millions of computers in the Internet. Analysts say it's programmed to become active on April 1. No matter it is hype or a hacker's hoax, the Internet security experts are taking this threat very seriously.
","","","The Internet technology has led to a dramatic development of human society. However, it has also become the medium that many criminals are using to commit crimes. They create malicious programs and send out virus which can cause hundreds of thousands computers to be infected in a second. The thread brought by worms has become a network crisis that spread rapidly beyond national boundaries. For the past few years, more and more computer crimes have arisen. The security problem of network in current is an urgent task for people to solve. Resolving this problem is meaningful to promote the network development safely and healthy. Many people have done many efforts to solve this problem and put forward many settlements. Meanwhile, it is necessary to help the netizens to cultivate moral and legal consciousness, and establish and perfect the relavant legal system.
","视听写作（四级网考）",""
"1. Write a short summary of the news item, which should include: ? The illegal downloading situation in the UK according to the report ? The advice that the report provides to the government 2. Give your comments on the theme of Illegal Downloading.
","","","A report says that there are millions of people downloading illegally in the UK. By downloading illegally, people can easily get free access to materials worth billions. So the report suggests that the government should pay attention to consumers’ attitudes to illegal downloading since it may infringe on the copyright of some works. But it also pointed out that simply punishing downloaders may cost a lot but earn little. Actually, with the popularization of the Internet, illegal downloading has become a worldwide problem. Getting free materials from the Internet may be one of the most common things that lots of net users do everyday. Some people from the creative industries believe that illegal downloading will definitely stifles innovation and threatens the long term health of the business. And illegal downloading, which can be compared with stealing, should be punished by law. However, others don’t think so. Some net users believe that the soul of Internet is sharing. Besides, there is no sound evidence that file-sharing has negative effects on product selling. People may hold different ideas, but it is obvious that illegal downloading will do no good to the right owners. We can’t just get something from others for free without the owners’ permission even it is not something concrete with shape. Reasonable people agree that copyright owners should be paid for their work. However, just like the report says: simply calling every downloader a criminal may be a very bad idea. Besides making some legislation, we need to increase the copyright protection consciousness of the net users. And self-regulation may be the best option in this field.
","视听写作（四级网考）",""
"1. Write a short summary of the video clip, which should include a description of the eco-towns in Germany;

2. Give your comments on the theme of environmental protection.
","It’s a picture of tranquility in the suburb of Freiberg. It has a close-knit community with super-efficient homes, grassy rooftops, solar panels and a great number of recycling bins. In the calm streets with trams and bicycles, the people of Freiberg enjoy their eco-living in every respect.

In most other places of the world, however, such scene is not common. There had been a lot of climate changes such as heat waves, droughts and floods. Scientists believe that this is the result of human activities, which are destroying the Earth's atmosphere. This couldcause moredisasters if we don't act to help prevent global warming.

However, it is never too late to take environmental protection measures. First, governments can support research and encourage companies to develop vehiclesto cause less pollution. They should also support alternative sources of electricity from wind and water. Second, we should make laws to limit the amount of greenhouse gases. Finally, it is important that everyone takes part in the problem-solving process and raise awareness in the general public.

In summary, we can do a lot to protect the environment with our willingness and we can definitely make huge progress in environmental protection.
","","
","视听写作（四级网考）","/resourcefile/200911/video/Flv-2009000001[2].flv"
"1. Write a short summary of the news item, which should include: ?

* Wind energy in the UK ?

* The new scheme of the UK government

2. Express your idea on the theme of Harness Clean Energy Sources in China.
","According to the news item, the United Kingdom has enormous wind power and the government is attempting to harness it on a larger scale than ever. The UK government is to build 1,500 offshore wind turbines measuring 100 meters high, 10 kilometers out to sea.

As far as I am concerned, we should harness clean power and we need to start now. With global warming threatening our future, we cannot wait. There's no question that China has enormous untapped power as well. We can generate electricity from clean energy sources such as wind and solar power. We can harness the wind and solar energyto power our future and leave dirty, dangerous energy behind. Wind turbines and solar panels can supply limitless, clean, and renewable energy. And we can build more high-performance andenergy-efficient homes that generate their own clean power and dramatically reduce energy consumption, which is also one of the most effective ways to improve our energy security, speed up our economy, and avoid thenegative effects of global warming. Let's embrace a new energy future.
","","","视听写作（四级网考）","/resourcefile/200911/technology/audio/Mp3-2009000001[10].mp3"
"1. Write a short summary of the news item, which should include: ?

* The speakers' ideas of happiness ?

* What true happiness is in modern life

2. Give your comments on the importance of money in pursuing happiness.
","Happiness may mean different things to different people. According to the speakers I've just heard, it can be the quality time spent with friends and family or just a slow pace of life. Indeed, one can get the purest and greatest happiness from feeling being accompanied. And if a person has the time to smell flowers and appreciate every little wonder of nature, what else would he hope for?

However, to others, that may not be the true happiness in modern life, where most of us are pressured to rush through daily life for fear that we may lag behind others. Pushed by the saying ""Time is money,"" who would be willing to slow down their pursuit of the powerful weapon—money?

I can't help wondering, ""Is money the most important factor in determining our sense of happiness?"" The answer to this is a definite ""no"" for my part. To my understanding, happiness is a feeling that is not solely based on possession of material things. A king or a millionaire would worry about other things if not about money. And a beggar can find his moments of joy in an unexpected discovery of food source. So I think the ultimate source of happiness may be ourselves. Be the master of yourself, and you will be the master of happiness.
","","","视听写作（四级网考）","/resourcefile/200911/life/audio/Mp3-2009000001[1].mp3"
"d
","","","d
","视听写作（四级网考）",""
"1. Write a short summary of the video clip, which should include:

*

What happened to the Kim family

*

What we should do in the survival situation

2. Give your comment on the survival of the Kims.
","James Kim went on a journey with his wife and his daughters two weeks ago. When they arrived at a wild forest, they came across a hurricane and lost their way. They stayed in the forest forthree days, and finally Kim left the car to seek help. Now Kim's wife and daughters have been rescuedfrom their car, but Kim is still missing. The search continues in a remote area from their car.

It's hard to imagine being in such a wild situation, but there are things we should know about how to survive in it. Even if we're going for a casual drive, we need to prepare for the unexpected. First of all, we should have a list of things in the car, for example, food, water, clothing, flashlighter, cell phones, shovels, etc. They are indispensable for surviving an emergency. When we are unfortunately in trouble, we can use the clothing, the carpet or the insulation inside the seat to keep us warm. The most important thing is that we should stay calm. Staying calm brings hope. Hope means that you're going to get rescued.

A lesson we can learn from the Kims is that we should never leave our car when danger happens. The car is a biggest shelter in an unexpected situation. If Kim hadn't left his car, he would now be together with his family.
","","","视听写作（四级网考）","/resourcefile/200912/video/Flv-2009000001[2].flv"
"1. Write a short summary of the news item, which should include:

* The finding of the new research

* The flood caused by the melting ice

2. Give your comments on the theme of global warming.
","New research from the United States suggests that the melting of Arctic sea ice is speeding up, and during the coming months, the ice cap may shrink to levels never seen before. The melting sea ice caused a flood in the US a week ago, causing deaths and driving thousands of people from their homes. Yet, authorities warned the residents thatanother flood is coming along the Mississippi River.

The melting of the Arctic ice cap is just oneconsequence of global warming. Higher temperatures could also lead to increased droughts and wildfires, intense rainstorms, and a greater number of powerful and dangerous hurricanes. Therefore, it is absolutely necessary for human beings to take measures against global warming. And if we don't act as soon as possible, we'll eventually lose our common homeland.
","","
","视听写作（四级网考）","/resourcefile/200912/technology/audio/Mp3-2009000001[3].mp3"
"1. Write a short summary of the news item, which should include:

* The amount of energy people need varies
* Balance of energy is important

2. Give your comments on how to keep fit.
","The amount of energy people need varies significantly. A set of scales shows the need to balance energy input and output. Energy balance is an important issue for young people. High-energy foods and low-energy-costing exercise produce a significant rise in the proportion of overweight people. This leads to the concern about heart disease and other illnesses, while an excessive diet can also lead to serious illness—anorexia nervosa.

However, there are many ways to keep fit. Firstly, one should keep a healthy diet as experts suggest. Get rid of bad habits, such as smoking and drinking, which will be harmful. Secondly, one should exercise regularly. Jogging, swimming and bicycling are all good choices. At the same time, exercise may be helpful in resisting diseases. Lastly, one should always be optimistic whenmeeting difficulties and obstacles.

Therefore, if you try tokeep a healthy diet and exercise regularly, you will be fitwithout going on a diet or suffering from other diseases caused by overweight.
","","","视听写作（四级网考）","/resourcefile/200911/video/Flv-2009000001[4].flv"
"1. Write a short summary of the news item, which should include:

* losing weight
* exercise

2. Express your ideas on the reasons why obese people want to lose weight and some effective ways of losing weight.
","In a study, scientists surveyed 167 people who wanted to lose weight and found that the successful subjects, in addition to having fewer high-fat foods in the house, also had fewer TV sets and more exercise equipment.

In my opinion, the main reason for obese people to lose weightis that they want to keep healthy. The risk of death rises with increasing weight. Obesity is now recognized as a major risk factor for heart disease, high blood pressure and some types of cancer.

The following are some effective ways to lose weight.

1) Drink water. Drinking water before meals can make you feel full so that you won't eat too much.

2) Proper exercise. Take a 20-minute walk every day andgradually increase the intensity of workout. Do it at least three times a week.

3) Balanced diet. Keep away from junk food and high fatty food and have a variety of fruits, vegetables, meats, fish and grains every day.

To sum up, maintaining a healthy lifestyle—regular exercise and a balanced diet can help you lose weight and keep healthy.
","","
","视听写作（四级网考）","/resourcefile/201004/health/audio/Mp3-20100423134842563.mp3"
"1. Write a brief account of the video about British monarchy, which should include: The development and stages of British Monarchy Monarchy and war 2. Give your comments on the theme of Nature of War.
","As is known to all, the British monarchy, which evolves through many stages, takes on a special meaning. Rome took control of Britain 2,000 years ago, and it brought a civilization of extraordinary sophistication and refinement; consequently, peace and prosperity thrived. However, dating back to 250AD, invaders from Germany, known as the Anglo-Saxons, poured over the imperial borders. The Roman law, the language, the literature, the religion, all have vanished into dusts.

War is a common procedure to conquer the enemy. It provides a cruel but efficient way to solve a dispute. But as to the nature of war, I personally think it is inhumane and wrong. As is depicted in the video, all the precious Roman treasures were wiped out by the cruel war. In sum, it mercilessly slaughters the innocence with advanced weapons and brings great loss to humankind.
","","
","视听写作（四级网考）","/resourcefile/200912/video/Flv-20091229113719108.flv"
"1. Write a short summary of the news item.

2. Express your idea on the theme of Teenage Drinking Problems, which should include:

* The harm of adolescent drinking

* What parents can do to helpdeal withthis problem
","A research with animals suggests that drinking during adolescence can set you up for a whole lifetime of bad decisions. People who abuse alcohol when they're young don't always make good choices as adults.

Teenagers and young people, particularly boys, often have the attitude that drinking is something cool, something that makes them popular. But according to many studies, adolescents, aged 12 to 17, who use alcohol are more likely to report behavioral problems, especially aggressive and criminal behaviors, including fighting, stealing, driving under the influence of alcohol and/or drugs, skipping school, feeling depressed, and deliberately trying to hurt or kill themselves.

For teenagers' parents, the following are some ways of trying to tackle this problem withsome skillsand communication.

The first thing to do is to remember: a huge part of talking is listening. Don't lecture, but sit and explain the dangers of excessive drinking, and the positive aspects of having a healthy lifestyle. Remember to stay calm and to take the time tolisten toresponses. It will make a big difference.

Secondly, teach by example. It's no good telling your children that drinking is bad for them if you yourself are often drunk.

Last but not least, be realistic and recognize peer pressure too. Help adolescents arm themselves with ways to say ""no"" and still be cool, like ""It's too high in calories,"" ""It makes me sick"" or even ""I don't like it!""
","","
","视听写作（四级网考）","/resourcefile/201005/technology/audio/Mp3-20100506094612520.mp3"
"1. Write a short summary of the video clip, which should include: ?

* The life circumstances of Danielle Galloway ?

* What Danielle Galloway has achieved

2. Give your comments on the experiences of Danielle Galloway.
","The experiences of Danielle Galloway are a very inspirational story. When she was a child, her family moved from shelter to shelter and she transferred from school to school. Despite the harsh life, she conquered obstacles in life and worked all the way to Boston University.

From this story, I learn that the circumstances of one's life shall not become an excuse for not working hard. Danielle Galloway lived a very harsh life, but she rose to the challenge and never gave up on herself. By working hard, she managed to change her destiny and make her own future.

I think Danielle Galloway set a very good example for young people. Like Danielle, we should set goals in life and focus on the goals, and when things get tough we shall never quit. Only in this way can we make the most of life and create a bright future for ourselves.
","","","视听写作（四级网考）","/resourcefile/200912/video/Flv-20091228111903362.flv"
"1 Write a short summary of the video clip; 2 Give your comments on How to Become Happier.
","In the video, a professor of psychology talks about how people could become happier. He explains the transition from not owning something to owning it makes us happy but happiness does not last long. Therefore, it is the number of happy things rather than the size of good things that bring us more happiness. He also emphasizes our greatest source of happiness comes from our relationship with family and friends.

I agree with what the professor mentioned. Besides those elements, there are other factors contributing to a happy life. I maintain that holding a balanced and positive attitude toward life also contributes to happiness. We could not be so greedy as to be never satified with our current state of life. We need to value what we have and do what we can to improve our life. In addition, helping others and doing some voluntary work also leads to happiness. We will feel we realize our self value and help to make the world a better place to live in.

In summary, the definitions of happiness vary from person to person. We need to find out what makes ourselves happy and start our pursuit of happiness.
","","
","视听写作（四级网考）","/resourcefile/200912/video/Flv-2009000001.flv"
"1. Write a short summary of the video clip, which should include:

* The scandal disturbed the United Nations Climate Change Conference

* This scandal aroused a heated argument

2. Give your comments on whether scientific research is trustful.
","The scandal disturbing the United Nations Climate Change Conference is named Climate-Gate, which suggests scientists might be trying to hide the decline trend in global temperatures. Therefore, some American politicians urged to stop making climate change laws. But authorities say the larger data still supports the global warming theory.

This scandal has aroused a heated argument: Is science research trustful? Some people say that science research has been focusing on commercial goals, and has been serving personal interests or those of certain organizations. Other people insist that most scientists hold their professional morality, and devote their life to the development and prosperity of human race.

As far as I'm concerned, scientific research is trustful. We have benefited from science research which finds out universal knowledge, invents convenient utilities for our lives, and develops creative technology to improve our society. History and facts speak much louder than scandals.
","","","视听写作（四级网考）","/resourcefile/201001/video/Flv-20100119203157413.flv"
"1. Write a short summary of the video clip, which should include: ?

* The problem of teenage drug abuse in Hong Kong

* The role of government in anti-drug campaign

2. Give your comments on how to deal with the problem of teenage drug abuse.
","Recently, the media reports on teenage drug abuse in Hong Kong increase quickly. A 16-year-old girl has been sentenced to three years in prison for drug trafficking. Besides, many teenagers were involved in drug trafficking and drug selling. Among the recent arrests, some were even secondary school students and the youngest were just fourteen years old. In order to prevent the teenagers from being made use of by the criminals, the official departments launched a series of anti-drug operations and provided help by recommending the teenagers to go to the training centers. Meanwhile, the public show their concern on the extent of this issue.

Teenagers' drug abuse is a dangerous sign of social instability. Therefore, the whole society should pay enough attention to this issue. Firstly, the school should reinforce the anti-drug education. The moment they enter the school, the idea of being away from drugs should be planted deeply in teenagers' hearts. Besides, parents should not just focus on their own jobs and neglect their duty of educating their children. Paying more attention to their children's leisure activities and being alert to their social contacts would contribute to helping teenagers away from drugs. What's more, the government should take more anti-drug operations and hold a zero-tolerant attitude toward drug abuse. It should also pay attention to the construction of spiritual world not just stressing the importance of economic growth. Teenagers need more purified movies, playgrounds, swimming pools and part-time positions not just hanging out aimlessly.

As the old saying goes, ""United we stand, divided we fall."" Only by binding the efforts together can we win in the anti-drug campaign.
","","
","视听写作（四级网考）","/resourcefile/201001/video/Flv-20100106104430274.flv"
"1. Write a short summary of the video clip, which should include:

*

The change of Christian's behavior after he was given treatment

*

How Teddy's family is affected by autism

2. Write your own opinion on how people should care for children who are mentally or physically challenged.
","From the video, we can see clearly that after little Christian was given professional treatment, he has learned some basic communication skills and sometimes he can play like a healthy child, even though he was still suffering from autism.

As to Teddy's family, since autism can run in a family, the idea that maybe other children also had autism made the mother miserable and at the same time determined to fight against autism.

Many people are convinced that children are the most innocent group in our society and they are going to build the future of the world.

Unfortunately, due to many reasons, such as genetic flaw or environmental pollution, many babies are born with certain diseases. They deserve more care from their parents and society.

To our delight, we see more child-care centers are built and special educational institutions are set up to provide specially designed programs for those who are mentally or physically challenged.

I'm sure that most people will say that childhood is the most precious memory of one's whole life. Let's join hands together to help those diseased children so that someday they will also have such good memory to cherish.
","","","视听写作（四级网考）","/resourcefile/200912/video/Flv-20091230233145784.flv"
"1. Write a short summary of the news item, which should include:

● Women's attitude towards life

● Anxiety of well-educated women in Shanghai

2. Give your comments on the role women should play in life.
","Women in Shanghai prefer having a happy family to a successful career. Thirty percent of respondents say a happy family is their first ideal. Many women like to read books about health, literature and arts in their spare time, aiming to make themselves more beautiful and confident.

But the greatest anxiety for well-educated women who are married is the difficulty in choosing between children and a career. And the biggest headache for single women is the difficulty of finding a husband because some Chinese men want women with a lower level of education.

Though it is really difficult for women to balance family and work, women should try hard to be independent economically and mentally. I think women should play a bigger role in social life.
","","
","视听写作（四级网考）","/resourcefile/201001/video/Flv-20100108180008138.flv"
